 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 301-300-657
220.239.3.4 - - [05/Jan/2020 20:10:44] "GET / HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /?utm_source=analytics_test&utm_medium=referral HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/css/styles.css HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/js/scripts.js HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/js/fitty.min.js HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/images/logoname.svg HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/images/drinkimages/772832-1.png+impolicy=Prod_SM.png HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/images/scoreMaroon.svg HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/images/donate.png HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/css/louis_george_cafe/louis_george_cafe-webfont.woff2 HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:11:05] "GET /static/css/louis_george_cafe/louis_george_cafe_bold-webfont.woff2 HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:12:06] "GET / HTTP/1.1" 200 -
220.239.3.4 - - [05/Jan/2020 20:12:06] "GET /static/images/drinkimages/772832-1.png+impolicy=Prod_SM.png HTTP/1.1" 200 -
159.89.23.245 - - [05/Jan/2020 20:37:46] "GET / HTTP/1.1" 200 -
1.129.106.120 - - [05/Jan/2020 20:40:21] "GET / HTTP/1.1" 200 -
1.129.106.120 - - [05/Jan/2020 20:40:22] "GET /static/images/drinkimages/772832-1.png+impolicy=Prod_SM.png HTTP/1.1" 200 -
1.129.106.120 - - [05/Jan/2020 20:40:22] "GET /static/images/logoname.svg HTTP/1.1" 200 -
1.129.106.120 - - [05/Jan/2020 20:40:22] "GET /static/js/scripts.js HTTP/1.1" 200 -
1.129.106.120 - - [05/Jan/2020 20:40:22] "GET /static/css/styles.css HTTP/1.1" 200 -
1.129.106.120 - - [05/Jan/2020 20:40:22] "GET /static/js/fitty.min.js HTTP/1.1" 200 -
1.129.106.120 - - [05/Jan/2020 20:40:22] "GET /static/images/scoreMaroon.svg HTTP/1.1" 200 -
1.129.106.120 - - [05/Jan/2020 20:40:22] "GET /static/images/donate.png HTTP/1.1" 200 -
